cine,película,fecha,Hora,Clasificacion,Idioma,tipo de sala
cinepolis galerías zacatecas,thor: un mundo oscuro,11/11/2013,12:30:00,b,Subtitulada,xe 3d
cinepolis galerías zacatecas,thor: un mundo oscuro,11/11/2013,13:00:00,b,Español,3d
cinemex zacatceas,thor: un mundo oscuro,11/11/2013,13:30:00,b,Español,3d
cinemex zacatceas,thor: un mundo oscuro,12/11/2013,13:30:00,b,Español,3d
cinepolis galerías zacatecas,thor: un mundo oscuro,11/11/2013,13:30:00,b,Subtitulada,dig
cinemex zacatceas,thor: un mundo oscuro,11/11/2013,13:50:00,b,Español,n
cinemex zacatceas,thor: un mundo oscuro,12/11/2013,13:50:00,b,Español,n
cinemex zacatceas,no se aceptan devoluciones,11/11/2013,14:00:00,a,Español,n
cinemex zacatceas,no se aceptan devoluciones,12/11/2013,14:00:00,a,Español,n
cinemex zacatceas,lluvia de hamburguesas 2: la venganza de las sobras,11/11/2013,14:15:00,aa,Español,3d dig
cinemex zacatceas,thor: un mundo oscuro,11/11/2013,14:20:00,b,Subtitulada,n
cinemex zacatceas,thor: un mundo oscuro,12/11/2013,14:20:00,b,Subtitulada,n
cinepolis galerías zacatecas,no se aceptan devoluciones,11/11/2013,14:45:00,a,Español,dig
cinepolis galerías zacatecas,thor: un mundo oscuro,11/11/2013,15:00:00,b,Español,dig
cinemex zacatceas,lluvia de hamburguesas 2: la venganza de las sobras,11/11/2013,15:30:00,aa,Español,n
cinemex zacatceas,lluvia de hamburguesas 2: la venganza de las sobras,12/11/2013,15:30:00,aa,Español,n
cinepolis galerías zacatecas,thor: un mundo oscuro,11/11/2013,15:30:00,b,Subtitulada,xe 3d
cinepolis galerías zacatecas,no se aceptan devoluciones,11/11/2013,15:45:00,a,Español,dig
cinemex zacatceas,thor: un mundo oscuro,11/11/2013,15:50:00,b,Español,3d
cinemex zacatceas,thor: un mundo oscuro,12/11/2013,15:50:00,b,Español,3d
cinepolis galerías zacatecas,thor: un mundo oscuro,11/11/2013,16:00:00,b,Español,3d
cinemex zacatceas,thor: un mundo oscuro,11/11/2013,16:10:00,b,Español,n
cinemex zacatceas,thor: un mundo oscuro,12/11/2013,16:10:00,b,Español,n
cinemex zacatceas,no se aceptan devoluciones,11/11/2013,16:20:00,a,Español,n
cinemex zacatceas,no se aceptan devoluciones,12/11/2013,16:20:00,a,Español,n
cinepolis galerías zacatecas,thor: un mundo oscuro,11/11/2013,16:30:00,b,Subtitulada,dig
cinemex zacatceas,thor: un mundo oscuro,11/11/2013,16:40:00,b,Subtitulada,n
cinemex zacatceas,thor: un mundo oscuro,12/11/2013,16:40:00,b,Subtitulada,n
cinepolis galerías zacatecas,thor: un mundo oscuro,11/11/2013,18:00:00,b,Español,dig
cinemex zacatceas,thor: un mundo oscuro,11/11/2013,18:10:00,b,Español,3d
cinemex zacatceas,thor: un mundo oscuro,12/11/2013,18:10:00,b,Español,3d
cinemex zacatceas,thor: un mundo oscuro,11/11/2013,18:30:00,b,Español,n
cinemex zacatceas,thor: un mundo oscuro,12/11/2013,18:30:00,b,Español,n
cinepolis galerías zacatecas,thor: un mundo oscuro,11/11/2013,18:30:00,b,Subtitulada,xe 3d
cinemex zacatceas,no se aceptan devoluciones,11/11/2013,18:40:00,a,Español,n
cinemex zacatceas,no se aceptan devoluciones,12/11/2013,18:40:00,a,Español,n
cinemex zacatceas,thor: un mundo oscuro,11/11/2013,19:00:00,b,Subtitulada,n
cinemex zacatceas,thor: un mundo oscuro,12/11/2013,19:00:00,b,Subtitulada,n
cinepolis galerías zacatecas,thor: un mundo oscuro,11/11/2013,19:00:00,b,Español,3d
cinepolis galerías zacatecas,thor: un mundo oscuro,11/11/2013,19:30:00,b,Subtitulada,dig
cinemex zacatceas,thor: un mundo oscuro,11/11/2013,20:30:00,b,Español,3d
cinemex zacatceas,thor: un mundo oscuro,12/11/2013,20:30:00,b,Español,3d
cinepolis galerías zacatecas,no se aceptan devoluciones,11/11/2013,20:45:00,a,Español,dig
cinemex zacatceas,thor: un mundo oscuro,11/11/2013,20:50:00,b,Español,n
cinemex zacatceas,thor: un mundo oscuro,12/11/2013,20:50:00,b,Español,n
cinemex zacatceas,no se aceptan devoluciones,11/11/2013,21:00:00,a,Español,n
cinemex zacatceas,no se aceptan devoluciones,12/11/2013,21:00:00,a,Español,n
cinepolis galerías zacatecas,thor: un mundo oscuro,11/11/2013,21:00:00,b,Español,dig
cinemex zacatceas,thor: un mundo oscuro,11/11/2013,21:20:00,b,Subtitulada,n
cinemex zacatceas,thor: un mundo oscuro,12/11/2013,21:20:00,b,Subtitulada,n
cinepolis galerías zacatecas,thor: un mundo oscuro,11/11/2013,21:30:00,b,Subtitulada,xe 3d
cinepolis galerías zacatecas,thor: un mundo oscuro,11/11/2013,22:00:00,b,Español,3d
